N; cond type; cond value; t (sec); NRMSE;
QR decomposition; data_2.txt;;;;
0; A; 1.00e+00; 4.4209e-02; 2.88e-01;
1; A; 1.75e+01; 8.1009e-02; 1.14e-02;
2; A; 3.41e+02; 1.1717e-01; 6.72e-04;
3; A; 6.83e+03; 1.5568e-01; 6.69e-04;
4; A; 1.39e+05; 1.8417e-01; 6.66e-04;
5; A; 2.87e+06; 1.8855e-01; 5.40e-04;
6; A; 5.95e+07; 1.9106e-01; 5.00e-03;
7; A; 1.24e+09; 1.9316e-01; 9.81e-03;
8; A; 2.61e+10; 1.9600e-01; 1.04e-02;
9; A; 5.51e+11; 2.0879e-01; 1.06e-02;

QR decomposition; data_4.txt;;;;
0; A; 1.00e+00; 8.0023e-03; 3.32e-01;
1; A; 4.39e+00; 1.5143e-02; 8.30e-02;
2; A; 2.28e+01; 2.3132e-02; 1.43e-15;
3; A; 1.24e+02; 2.9006e-02; 1.90e-15;
4; A; 6.88e+02; 3.7009e-02; 2.87e-15;
5; A; 3.85e+03; 4.4004e-02; 2.70e-15;
6; A; 2.17e+04; 4.9999e-02; 1.07e-15;
7; A; 1.23e+05; 5.5015e-02; 1.80e-15;
8; A; 6.97e+05; 6.3044e-02; 1.98e-15;
9; A; 3.97e+06; 6.9114e-02; 1.35e-15;

QR decomposition; data_5.txt;;;;
0; A; 1.00e+00; 7.9992e-03; 2.94e-01;
1; A; 4.39e+00; 1.5749e-02; 2.76e-02;
2; A; 2.28e+01; 2.2108e-02; 2.32e-03;
3; A; 1.24e+02; 3.0004e-02; 1.46e-04;
4; A; 6.88e+02; 3.6003e-02; 7.32e-06;
5; A; 3.85e+03; 4.5005e-02; 3.06e-07;
6; A; 2.17e+04; 4.9733e-02; 1.09e-08;
7; A; 1.23e+05; 5.6402e-02; 3.43e-10;
8; A; 6.97e+05; 6.8017e-02; 3.79e-11;
9; A; 3.97e+06; 6.7099e-02; 5.45e-11;


Normal equations; data_2.txt;;;;
0; A^T * A; 1.00e+00; 3.0005e-03; 2.88e-01;
1; A^T * A; 3.06e+02; 3.0005e-03; 1.14e-02;
2; A^T * A; 1.16e+05; 6.0005e-03; 6.72e-04;
3; A^T * A; 4.67e+07; 5.0013e-03; 6.69e-04;
4; A^T * A; 1.94e+10; 6.0015e-03; 6.66e-04;
5; A^T * A; 8.24e+12; 7.0014e-03; 4.41e-04;
6; A^T * A; 3.54e+15; 7.1044e-03; 2.47e-04;
7; A^T * A; 1.54e+18; 8.6784e-03; 2.36e-04;
8; A^T * A; 6.81e+20; 8.8663e-03; 2.03e-04;
9; A^T * A; 3.03e+23; 1.1000e-02; 1.80e-04;

Normal equations; data_4.txt;;;;
0; A^T * A; 1.00e+00; 1.0056e-03; 3.32e-01;
1; A^T * A; 1.92e+01; 1.0002e-03; 8.30e-02;
2; A^T * A; 5.22e+02; 1.0002e-03; 6.73e-15;
3; A^T * A; 1.54e+04; 9.9993e-04; 2.57e-14;
4; A^T * A; 4.73e+05; 1.0004e-03; 9.43e-14;
5; A^T * A; 1.48e+07; 2.0001e-03; 2.98e-13;
6; A^T * A; 4.70e+08; 2.0003e-03; 6.18e-13;
7; A^T * A; 1.51e+10; 1.0006e-03; 4.32e-12;
8; A^T * A; 4.86e+11; 2.0003e-03; 5.22e-11;
9; A^T * A; 1.58e+13; 2.1424e-03; 3.04e-10;

Normal equations; data_5.txt;;;;
0; A^T * A; 1.00e+00; 0.0000e+00; 2.94e-01;
1; A^T * A; 1.92e+01; 0.0000e+00; 2.76e-02;
2; A^T * A; 5.22e+02; 1.0002e-03; 2.32e-03;
3; A^T * A; 1.54e+04; 1.0002e-03; 1.46e-04;
4; A^T * A; 4.73e+05; 1.0004e-03; 7.32e-06;
5; A^T * A; 1.48e+07; 2.0006e-03; 3.06e-07;
6; A^T * A; 4.70e+08; 1.0006e-03; 1.09e-08;
7; A^T * A; 1.51e+10; 2.0006e-03; 3.43e-10;
8; A^T * A; 4.86e+11; 2.0003e-03; 3.01e-11;
9; A^T * A; 1.58e+13; 2.2211e-03; 8.85e-11;

SVD decomposition; data_2.txt;;;;
0; A^T * A; 1.00e+00; 0.0000e+00; 2.88e-01;
1; A^T * A; 3.06e+02; 0.0000e+00; 1.14e-02;
2; A^T * A; 1.16e+05; 0.0000e+00; 6.72e-04;
3; A^T * A; 4.67e+07; 0.0000e+00; 6.69e-04;
4; A^T * A; 1.94e+10; 0.0000e+00; 6.66e-04;
5; A^T * A; 8.24e+12; 0.0000e+00; 4.41e-04;
6; A^T * A; 3.54e+15; 1.0009e-03; 2.47e-04;
7; A^T * A; 1.54e+18; 0.0000e+00; 2.36e-04;
8; A^T * A; 6.81e+20; 5.0783e-04; 2.03e-04;
9; A^T * A; 3.03e+23; 7.3957e-04; 1.80e-04;

SVD decomposition; data_4.txt;;;;
0; A^T * A; 1.00e+00; 0.0000e+00; 3.32e-01;
1; A^T * A; 1.92e+01; 0.0000e+00; 8.30e-02;
2; A^T * A; 5.22e+02; 0.0000e+00; 5.92e-15;
3; A^T * A; 1.54e+04; 0.0000e+00; 2.04e-14;
4; A^T * A; 4.73e+05; 0.0000e+00; 8.90e-14;
5; A^T * A; 1.48e+07; 5.0807e-04; 3.33e-13;
6; A^T * A; 4.70e+08; 0.0000e+00; 8.89e-13;
7; A^T * A; 1.51e+10; 0.0000e+00; 3.82e-12;
8; A^T * A; 4.86e+11; 1.0002e-03; 4.37e-11;
9; A^T * A; 1.58e+13; 0.0000e+00; 2.87e-10;

SVD decomposition; data_5.txt;;;;
0; A^T * A; 1.00e+00; 5.0807e-04; 2.94e-01;
1; A^T * A; 1.92e+01; 0.0000e+00; 2.76e-02;
2; A^T * A; 5.22e+02; 0.0000e+00; 2.32e-03;
3; A^T * A; 1.54e+04; 0.0000e+00; 1.46e-04;
4; A^T * A; 4.73e+05; 0.0000e+00; 7.32e-06;
5; A^T * A; 1.48e+07; 0.0000e+00; 3.06e-07;
6; A^T * A; 4.70e+08; 0.0000e+00; 1.09e-08;
7; A^T * A; 1.51e+10; 0.0000e+00; 3.43e-10;
8; A^T * A; 4.86e+11; 0.0000e+00; 2.94e-11;
9; A^T * A; 1.58e+13; 5.8603e-04; 1.46e-10;